,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
137,1,0,0,1,0,Inter,Spezia,1.3,3.5,6.8965517241379315,0.5333333333333333,15,5,5,0,0,2,0,3,4,1,0
138,0,1,0,0,1,Udinese,Salernitana,1.8,2.0,2.1714285714285713,0.8444444444444444,9,2,1,2,2,0,3,2,1,1,1
139,0,1,0,0,1,Torino,Lazio,1.92,1.98,1.1666666666666667,1.5217391304347827,3,9,2,1,2,2,3,0,0,4,1
140,1,0,0,1,0,Juventus,Sassuolo,1.53,2.5,3.298611111111111,0.6785714285714286,8,5,2,1,2,1,1,3,4,0,1
141,0,0,1,1,0,Verona,Napoli,1.8,2.0,1.0,1.707317073170732,8,18,1,1,3,5,0,0,1,2,2
142,1,0,0,0,1,Spezia,Empoli,1.94,1.96,1.3469387755102038,1.1379310344827587,8,5,2,0,3,1,1,3,1,2,0
143,0,0,1,0,1,Salernitana,Roma,1.72,2.1,0.7307692307692307,3.298611111111111,4,5,1,2,2,2,2,1,0,0,3
144,1,0,0,1,0,Lazio,Bologna,1.66,2.2,2.7579617834394905,0.7530434782608696,13,6,3,2,0,1,1,3,3,0,2
145,1,0,0,1,0,Fiorentina,Cremonese,1.66,2.2,3.676470588235294,0.5882352941176471,8,2,3,0,2,0,0,1,1,0,0
146,0,0,1,1,0,Monza,Torino,2.1,1.72,1.2692307692307692,1.2,1,6,0,0,1,3,0,2,0,0,1
147,0,0,1,1,0,Lecce,Inter,1.57,2.37,0.575,4.4921875,11,14,2,0,3,5,0,0,1,1,3
148,0,0,1,0,1,Sampdoria,Atalanta,1.72,2.1,0.9006928406466512,2.2285714285714286,5,6,2,0,3,2,1,2,1,0,4
149,1,0,0,1,0,Milan,Udinese,1.72,2.1,3.298611111111111,0.6785714285714286,13,10,5,0,0,1,1,3,2,3,0
150,0,1,0,0,1,Venezia,Cagliari,1.72,2.1,0.8444444444444444,2.2093023255813953,7,3,1,2,2,0,2,3,0,2,0
151,0,0,1,1,0,Salernitana,Udinese,1.61,2.3,2.3529411764705883,0.8421052631578947,5,12,1,3,1,2,1,2,1,0,1
152,0,0,1,1,0,Sassuolo,Milan,1.5,2.62,0.7307692307692307,3.2758620689655173,6,11,1,1,3,5,0,0,2,0,3
153,1,0,0,1,0,Inter,Sampdoria,1.28,3.75,7.017543859649123,0.42105263157894735,13,6,4,0,1,2,1,2,3,1,1
154,0,0,1,1,0,Spezia,Napoli,1.44,2.75,0.782608695652174,2.941176470588235,8,15,1,0,4,4,0,1,2,0,2
155,0,1,0,1,0,Lazio,Verona,1.53,2.5,2.2857142857142856,0.9237875288683602,12,7,2,2,1,1,2,2,2,1,2
156,1,0,0,0,1,Fiorentina,Juventus,1.66,2.2,2.111111111111111,0.9047619047619047,5,7,2,0,3,2,1,2,2,1,2
157,0,0,1,0,1,Atalanta,Empoli,1.25,4.0,5.737704918032787,0.6363636363636364,8,8,1,2,2,2,1,2,2,1,2
158,0,0,1,0,1,Genoa,Bologna,1.66,2.2,1.6,1.2,3,7,2,0,3,2,1,2,3,1,1
159,0,0,1,1,0,Torino,Roma,1.72,2.1,1.090909090909091,1.7142857142857142,8,5,2,1,2,1,2,2,1,0,4
160,0,1,0,1,0,Juventus,Lazio,1.72,2.1,1.6,1.2413793103448276,8,10,2,2,1,2,2,1,3,2,0
161,1,0,0,1,0,Sampdoria,Fiorentina,1.72,2.1,1.0133333333333332,2.0,7,4,2,1,2,1,0,4,3,0,2
162,0,0,1,1,0,Cagliari,Inter,1.5,2.62,0.75,3.7500000000000004,4,13,1,1,3,4,0,1,0,1,4
163,1,0,0,0,1,Milan,Atalanta,1.57,2.37,2.4,1.0,10,11,5,0,0,2,2,1,3,1,1
164,1,0,0,1,0,Napoli,Genoa,1.72,2.1,2.2222222222222223,1.0526315789473684,13,3,3,1,1,2,0,3,4,0,1
165,0,0,1,1,0,Bologna,Sassuolo,1.44,2.75,1.5833333333333333,1.450381679389313,8,6,1,2,2,1,1,3,1,1,3
166,0,1,0,0,1,Roma,Venezia,1.4,3.0,5.2,0.5909090909090909,3,8,0,3,2,1,1,3,0,1,1
167,0,0,1,0,1,Verona,Torino,1.8,2.0,1.5217391304347827,1.1666666666666667,6,10,2,1,2,3,1,1,0,3,2
168,0,0,1,1,0,Udinese,Spezia,1.66,2.2,2.1311475409836063,0.975,10,9,1,2,2,1,0,4,2,0,2
169,0,1,0,0,1,Empoli,Salernitana,1.57,2.37,1.2096774193548387,1.7857142857142856,8,7,1,1,3,2,3,0,1,1,0
170,1,0,0,0,1,Fiorentina,Roma,1.91,1.99,1.3924050632911391,1.0999999999999999,4,4,2,0,3,1,2,2,1,0,4
171,0,0,1,1,0,Verona,Milan,1.72,2.1,0.9699769053117783,2.4705882352941178,6,8,2,1,2,4,1,0,0,2,3
172,0,1,0,0,1,Salernitana,Cagliari,2.04,1.86,1.4345991561181433,1.1333333333333333,7,4,3,2,0,1,1,3,0,2,0
173,1,0,0,1,0,Venezia,Bologna,1.87,2.03,1.2195121951219512,1.4893617021276595,7,8,1,0,4,1,3,1,2,0,0
174,0,0,1,1,0,Spezia,Atalanta,1.53,2.5,0.7307692307692307,3.2758620689655173,6,12,0,1,4,2,2,1,0,1,3
175,1,0,0,0,1,Lazio,Sampdoria,1.61,2.3,3.298611111111111,0.7307692307692307,12,3,3,1,1,1,1,3,4,0,1
176,0,1,0,0,1,Sassuolo,Udinese,1.5,2.62,1.565217391304348,1.254355400696864,5,8,1,1,3,1,2,2,0,2,3
177,0,0,1,0,1,Torino,Napoli,1.8,2.0,0.9722222222222222,1.707317073170732,10,12,2,2,1,2,1,2,0,1,4
178,1,0,0,1,0,Genoa,Juventus,2.5,1.53,0.88,1.6097560975609757,4,8,2,0,3,3,1,1,1,0,4
179,1,0,0,1,0,Inter,Empoli,1.28,3.75,7.894736842105264,0.6,13,7,4,0,1,1,1,3,5,0,0
180,1,0,0,1,0,Salernitana,Venezia,1.9,2.0,2.0571428571428574,0.8,8,4,4,1,0,0,0,5,2,0,0
181,0,1,0,0,1,Atalanta,Salernitana,1.5,2.62,5.2,0.6842105263157895,10,7,1,2,2,3,1,1,1,1,0
182,0,1,0,0,1,Roma,Bologna,1.66,2.2,3.0,0.75,5,7,2,2,1,2,3,0,2,1,2
183,0,0,1,1,0,Udinese,Inter,1.66,2.2,0.7000000000000001,2.709677419354839,11,11,2,1,2,4,0,1,0,1,4
