,FTR,HomeTeam,AwayTeam,FTHG,FTAG
389,H,Wolves,West Ham,1.0,0.0
390,H,Watford,Man United,4.0,1.0
391,H,Norwich,Southampton,2.0,1.0
392,D,Newcastle,Brentford,3.0,3.0
393,D,Burnley,Crystal Palace,3.0,3.0
394,H,Aston Villa,Brighton,2.0,0.0
395,A,Leicester,Chelsea,0.0,3.0
396,H,West Ham,Liverpool,3.0,2.0
397,D,Leeds,Leicester,1.0,1.0
398,D,Everton,Tottenham,0.0,0.0
399,H,Arsenal,Watford,1.0,0.0
400,D,Brighton,Newcastle,1.0,1.0
401,H,Crystal Palace,Wolves,2.0,0.0
402,D,Chelsea,Burnley,1.0,1.0
403,A,Brentford,Norwich,1.0,2.0
404,A,Man United,Man City,0.0,2.0
405,H,Southampton,Aston Villa,1.0,0.0
406,H,Wolves,Everton,2.0,1.0
407,A,Aston Villa,West Ham,1.0,4.0
408,A,Norwich,Leeds,1.0,2.0
409,A,Tottenham,Man United,0.0,3.0
410,A,Watford,Southampton,0.0,1.0
411,A,Newcastle,Chelsea,0.0,3.0
412,A,Man City,Crystal Palace,0.0,2.0
413,D,Liverpool,Brighton,2.0,2.0
414,H,Burnley,Brentford,3.0,1.0
415,A,Leicester,Arsenal,0.0,2.0
416,A,Man United,Liverpool,0.0,5.0
417,H,West Ham,Tottenham,1.0,0.0
418,A,Brentford,Leicester,1.0,2.0
419,A,Brighton,Man City,1.0,4.0
420,D,Southampton,Burnley,2.0,2.0
421,D,Leeds,Wolves,1.0,1.0
422,A,Everton,Watford,2.0,5.0
423,D,Crystal Palace,Newcastle,1.0,1.0
424,H,Chelsea,Norwich,7.0,0.0
425,H,Arsenal,Aston Villa,3.0,1.0
426,D,Arsenal,Crystal Palace,2.0,2.0
427,A,Newcastle,Tottenham,2.0,3.0
428,A,Everton,West Ham,0.0,1.0
429,A,Brentford,Chelsea,0.0,1.0
430,H,Southampton,Leeds,1.0,0.0
431,D,Norwich,Brighton,0.0,0.0
432,H,Man City,Burnley,2.0,0.0
433,H,Leicester,Man United,4.0,2.0
434,A,Aston Villa,Wolves,2.0,3.0
435,A,Watford,Liverpool,0.0,5.0
436,D,Liverpool,Man City,2.0,2.0
437,A,West Ham,Brentford,1.0,2.0
438,H,Tottenham,Aston Villa,2.0,1.0
439,D,Crystal Palace,Leicester,2.0,2.0
440,D,Brighton,Arsenal,0.0,0.0
441,H,Wolves,Newcastle,2.0,1.0
442,H,Leeds,Watford,1.0,0.0
443,H,Chelsea,Southampton,3.0,1.0
444,D,Burnley,Norwich,0.0,0.0
445,D,Man United,Everton,1.0,1.0
446,D,Crystal Palace,Brighton,1.0,1.0
447,H,Arsenal,Tottenham,3.0,1.0
448,A,Southampton,Wolves,0.0,1.0
449,D,Brentford,Liverpool,3.0,3.0
450,D,Watford,Newcastle,1.0,1.0
451,D,Leicester,Burnley,2.0,2.0
452,A,Leeds,West Ham,1.0,2.0
453,H,Everton,Norwich,2.0,0.0
454,A,Man United,Aston Villa,0.0,1.0
455,A,Chelsea,Man City,0.0,1.0
456,A,Tottenham,Chelsea,0.0,3.0
457,A,West Ham,Man United,1.0,2.0
458,H,Brighton,Leicester,2.0,1.0
459,H,Aston Villa,Everton,3.0,0.0
460,A,Norwich,Watford,1.0,3.0
461,D,Man City,Southampton,0.0,0.0
462,H,Liverpool,Crystal Palace,3.0,0.0
463,A,Burnley,Arsenal,0.0,1.0
464,A,Wolves,Brentford,0.0,2.0
465,D,Newcastle,Leeds,1.0,1.0
466,H,Everton,Burnley,3.0,1.0
467,A,Leeds,Liverpool,0.0,3.0
468,H,Chelsea,Aston Villa,3.0,0.0
469,A,Watford,Wolves,0.0,2.0
470,D,Southampton,West Ham,0.0,0.0
471,H,Man United,Newcastle,4.0,1.0
472,A,Leicester,Man City,0.0,1.0
473,A,Brentford,Brighton,0.0,1.0
474,H,Arsenal,Norwich,1.0,0.0
475,H,Crystal Palace,Tottenham,3.0,0.0
476,A,Wolves,Man United,0.0,1.0
477,H,Tottenham,Watford,1.0,0.0
478,D,Burnley,Leeds,1.0,1.0
479,D,Liverpool,Chelsea,1.0,1.0
480,D,West Ham,Crystal Palace,2.0,2.0
481,A,Norwich,Leicester,1.0,2.0
482,D,Newcastle,Southampton,2.0,2.0
483,A,Brighton,Everton,0.0,2.0
484,D,Aston Villa,Brentford,1.0,1.0
485,H,Man City,Arsenal,5.0,0.0
486,H,West Ham,Leicester,4.0,1.0
