,FTR,HomeTeam,AwayTeam,FTHG,FTAG
570,A,Spezia,Napoli,1.0,4.0
571,H,Torino,Parma,1.0,0.0
572,H,Sampdoria,Roma,2.0,0.0
573,A,Udinese,Juventus,1.0,2.0
574,D,Sassuolo,Atalanta,1.0,1.0
575,D,Napoli,Cagliari,1.0,1.0
576,D,Bologna,Fiorentina,3.0,3.0
577,H,Lazio,Genoa,4.0,3.0
578,H,Milan,Benevento,2.0,0.0
579,A,Crotone,Inter,0.0,2.0
580,D,Verona,Spezia,1.0,1.0
581,H,Lazio,Milan,3.0,0.0
582,A,Torino,Napoli,0.0,2.0
583,H,Atalanta,Bologna,5.0,0.0
584,H,Cagliari,Roma,3.0,2.0
585,H,Inter,Verona,1.0,0.0
586,D,Fiorentina,Juventus,1.0,1.0
587,A,Benevento,Udinese,2.0,4.0
588,H,Sassuolo,Sampdoria,1.0,0.0
589,A,Parma,Crotone,3.0,4.0
590,H,Genoa,Spezia,2.0,0.0
591,H,Napoli,Lazio,5.0,2.0
592,D,Roma,Atalanta,1.0,1.0
593,A,Udinese,Cagliari,0.0,1.0
594,D,Spezia,Inter,1.0,1.0
595,H,Juventus,Parma,3.0,1.0
596,D,Genoa,Benevento,2.0,2.0
597,A,Crotone,Sampdoria,0.0,1.0
598,D,Bologna,Torino,1.0,1.0
599,A,Milan,Sassuolo,1.0,2.0
600,A,Verona,Fiorentina,1.0,2.0
601,D,Napoli,Inter,1.0,1.0
602,H,Torino,Roma,3.0,1.0
603,H,Lazio,Benevento,5.0,3.0
604,H,Bologna,Spezia,4.0,1.0
605,H,Atalanta,Juventus,1.0,0.0
606,H,Milan,Genoa,2.0,1.0
607,H,Cagliari,Parma,4.0,3.0
608,H,Sassuolo,Fiorentina,3.0,1.0
609,H,Sampdoria,Verona,3.0,1.0
610,A,Crotone,Udinese,1.0,2.0
611,A,Benevento,Sassuolo,0.0,1.0
612,A,Fiorentina,Atalanta,2.0,3.0
613,H,Roma,Bologna,1.0,0.0
614,A,Verona,Lazio,0.0,1.0
615,A,Sampdoria,Napoli,0.0,2.0
616,H,Juventus,Genoa,3.0,1.0
617,H,Inter,Cagliari,1.0,0.0
618,A,Udinese,Torino,0.0,1.0
619,A,Parma,Milan,1.0,3.0
