,FTR,HomeTeam,AwayTeam,FTHG,FTAG
438,H,Lyon,Monaco,2.0,0.0
439,H,Clermont,Lille,1.0,0.0
440,H,Paris SG,Angers,2.0,1.0
441,D,St Etienne,Lyon,1.0,1.0
442,H,Lille,Marseille,2.0,0.0
443,H,Nantes,Troyes,2.0,0.0
444,H,Monaco,Bordeaux,3.0,0.0
445,D,Lorient,Clermont,1.0,1.0
446,H,Angers,Metz,3.0,2.0
447,H,Rennes,Paris SG,2.0,0.0
448,H,Nice,Brest,2.0,1.0
449,D,Montpellier,Strasbourg,1.0,1.0
450,H,Lens,Reims,2.0,0.0
451,A,Marseille,Lens,2.0,3.0
452,A,Clermont,Monaco,1.0,3.0
453,D,Troyes,Angers,1.0,1.0
454,H,Reims,Nantes,3.0,1.0
455,A,Brest,Metz,1.0,2.0
456,D,Bordeaux,Rennes,1.0,1.0
457,H,Paris SG,Montpellier,2.0,0.0
458,D,Lyon,Lorient,1.0,1.0
459,A,Strasbourg,Lille,1.0,2.0
460,A,St Etienne,Nice,0.0,3.0
461,A,Metz,Paris SG,1.0,2.0
462,H,Lyon,Troyes,3.0,1.0
463,H,Lorient,Nice,1.0,0.0
464,A,Lens,Strasbourg,0.0,1.0
465,D,Angers,Marseille,0.0,0.0
466,H,Rennes,Clermont,6.0,0.0
467,H,Nantes,Brest,3.0,1.0
468,D,Montpellier,Bordeaux,3.0,3.0
469,H,Monaco,St Etienne,3.0,1.0
470,H,Lille,Reims,2.0,1.0
471,H,Paris SG,Lyon,2.0,1.0
472,H,Marseille,Rennes,2.0,0.0
473,D,Troyes,Montpellier,1.0,1.0
474,D,Reims,Lorient,0.0,0.0
475,D,Clermont,Brest,1.0,1.0
476,A,Angers,Nantes,1.0,4.0
477,D,Nice,Monaco,2.0,2.0
478,A,St Etienne,Bordeaux,1.0,2.0
479,H,Lens,Lille,1.0,0.0
480,H,Strasbourg,Metz,3.0,0.0
481,H,Lyon,Strasbourg,3.0,1.0
482,A,Nantes,Nice,0.0,2.0
483,A,Rennes,Reims,0.0,2.0
484,A,Metz,Troyes,0.0,2.0
485,D,Brest,Angers,1.0,1.0
486,A,Bordeaux,Lens,2.0,3.0
487,H,Montpellier,St Etienne,2.0,0.0
488,A,Monaco,Marseille,0.0,2.0
489,H,Paris SG,Clermont,4.0,0.0
490,H,Lorient,Lille,2.0,1.0
491,A,Reims,Paris SG,0.0,2.0
492,H,Lille,Montpellier,2.0,1.0
493,H,Strasbourg,Brest,3.0,1.0
494,D,Lens,Lorient,2.0,2.0
495,D,Clermont,Metz,2.0,2.0
496,H,Angers,Rennes,2.0,0.0
